group,name,Income,2024 score,2016,2017,2018,2019,2020,2021,2022,2023,2024,Since 2016
East Asia & Pacific,Myanmar,Lower middle,64.52125,44.09,53.8825,60.93666666666666,63.762916666666655,65.3875,65.43083333333334,65.93583333333333,64.88958333333333,64.52125,20.43124999999999
East Asia & Pacific,Viet Nam,Lower middle,67.23833333333333,53.711666666666666,59.12499999999999,59.62833333333333,58.962083333333325,61.50041666666666,67.10333333333334,66.71791666666667,71.62416666666667,67.23833333333333,13.526666666666664
East Asia & Pacific,Fiji,Upper middle,67.67666666666666,55.14625000000001,61.65833333333333,61.63458333333334,60.26083333333333,54.618750000000006,63.90041666666667,61.42208333333335,62.498333333333335,67.67666666666666,12.530416666666653
East Asia & Pacific,Indonesia,Upper middle,82.34458333333335,68.56458333333333,70.45416666666668,72.02125000000001,71.87249999999999,74.08875,78.78916666666666,78.59583333333333,81.09333333333333,82.34458333333335,13.780000000000015
East Asia & Pacific,Mongolia,Upper middle,83.73333333333333,68.18166666666666,74.11208333333333,77.46208333333334,77.28333333333333,83.18458333333332,84.495,81.9875,82.70875000000001,83.73333333333333,15.551666666666677
East Asia & Pacific,Philippines,Lower middle,83.83500000000001,73.24374999999999,74.49208333333333,75.87958333333333,75.39333333333333,79.15208333333335,81.91958333333334,81.45208333333332,82.70375,83.83500000000001,10.591250000000016
East Asia & Pacific,Malaysia,Upper middle,84.99125000000002,61.34041666666666,62.535833333333336,70.45416666666668,68.89041666666668,70.77708333333334,74.76625,75.83166666666668,80.08791666666669,84.99125000000002,23.65083333333336
East Asia & Pacific,Thailand,Upper middle,85.03916666666666,77.69208333333334,76.25041666666667,76.69333333333334,76.12083333333334,79.27750000000002,82.68416666666667,83.97416666666669,83.57833333333335,85.03916666666666,7.347083333333316
East Asia & Pacific,Singapore,High,88.31875,65.27708333333334,67.99750000000002,77.93166666666667,78.10916666666668,81.53375,85.06791666666668,86.6675,88.76750000000001,88.31875,23.041666666666657
East Asia & Pacific,Australia,High,88.97083333333333,83.41666666666667,85.06333333333333,84.36416666666669,84.24166666666667,83.72791666666669,87.00458333333334,87.82624999999999,88.86625000000001,88.97083333333333,5.55416666666666
East Asia & Pacific,Japan,High,90.99291666666667,76.11833333333334,78.05000000000001,87.0325,87.14250000000001,87.75999999999999,90.70791666666666,90.28875,90.94375,90.99291666666667,14.874583333333334
East Asia & Pacific,"Korea, Rep.",High,91.5675,76.16708333333332,78.50208333333335,84.81458333333333,84.61708333333334,86.50125000000001,88.93416666666668,88.45500000000001,91.4525,91.5675,15.400416666666672
East Asia & Pacific,New Zealand,High,91.73875,78.96291666666667,83.5525,83.50000000000001,83.50375000000001,83.67125000000001,88.62791666666668,87.93458333333334,91.30958333333336,91.73875,12.775833333333324
East Asia & Pacific,American Samoa,High,,,,,,,,,,,
East Asia & Pacific,French Polynesia,High,,,,,,,,,,,
East Asia & Pacific,Guam,High,,,,,,,,,,,
East Asia & Pacific,"Hong Kong SAR, China",High,,,,,,,,,,,
East Asia & Pacific,"Korea, Dem. People's Rep.",Low,,,,,,,,,,,
East Asia & Pacific,"Macao SAR, China",High,,,,,,,,,,,
East Asia & Pacific,New Caledonia,High,,,,,,,,,,,
East Asia & Pacific,Northern Mariana Islands,High,,,,,,,,,,,
Europe & Central Asia,Turkmenistan,Upper middle,29.654166666666654,19.163333333333338,22.215,16.647083333333335,23.140833333333337,26.84125000000001,28.674999999999994,30.746249999999996,30.7175,29.654166666666654,10.490833333333317
Europe & Central Asia,Andorra,High,49.8675,,,,,,,40.36791666666667,44.79666666666667,49.8675,
Europe & Central Asia,Tajikistan,Lower middle,63.868750000000006,50.88958333333334,55.61916666666667,56.186666666666675,56.43041666666667,57.20541666666668,56.71208333333333,53.247083333333336,53.60833333333335,63.868750000000006,12.979166666666664
Europe & Central Asia,Bosnia and Herzegovina,Upper middle,68.55875,55.37708333333333,55.86208333333333,61.56000000000002,61.56750000000002,62.70708333333334,70.86,68.45374999999999,68.77624999999999,68.55875,13.181666666666672
Europe & Central Asia,Azerbaijan,Upper middle,69.48875000000001,54.12875,60.705,68.48625,68.47125,70.86708333333334,73.00375000000001,70.77916666666668,66.78625000000001,69.48875000000001,15.360000000000014
Europe & Central Asia,Montenegro,Upper middle,73.89208333333333,57.263333333333335,60.62541666666667,63.41041666666667,65.68916666666668,69.82208333333334,78.20416666666668,72.10458333333332,71.94416666666667,73.89208333333333,16.628749999999997
Europe & Central Asia,Ukraine,Upper middle,75.99708333333335,67.34458333333335,68.25291666666668,69.22791666666667,72.14416666666668,76.01250000000002,80.05916666666668,77.52333333333334,78.41333333333334,75.99708333333335,8.652500000000003
Europe & Central Asia,Belarus,Upper middle,77.19750000000002,66.41791666666667,66.09333333333333,76.78708333333334,79.80125000000001,83.64958333333334,88.46374999999999,88.45916666666666,79.40125,77.19750000000002,10.779583333333349
Europe & Central Asia,Kyrgyz Republic,Lower middle,79.14791666666667,81.09416666666667,80.13125000000001,78.32458333333334,80.80583333333334,82.015,84.29416666666667,84.65458333333333,77.78083333333335,79.14791666666667,-1.946249999999992
Europe & Central Asia,Turkiye,Upper middle,79.34833333333333,72.64541666666668,77.20291666666668,77.99000000000001,78.47125,78.14583333333334,80.08250000000001,77.72083333333333,78.67708333333334,79.34833333333333,6.702916666666653
Europe & Central Asia,Serbia,Upper middle,80.48875000000001,68.77416666666667,73.73708333333335,75.28541666666668,75.79291666666667,80.86208333333335,81.14750000000002,79.82083333333334,84.07208333333335,80.48875000000001,11.714583333333337
Europe & Central Asia,Iceland,High,81.47041666666668,69.47166666666666,71.72958333333335,78.29458333333332,78.35333333333334,79.94166666666669,83.41958333333335,86.08666666666667,81.7425,81.47041666666668,11.998750000000015
Europe & Central Asia,Uzbekistan,Lower middle,81.49083333333334,37.73125,43.625,50.54291666666667,53.91,67.80333333333334,71.055,75.79083333333334,81.99208333333334,81.49083333333334,43.75958333333334
Europe & Central Asia,Russian Federation,High,81.50083333333333,69.58083333333333,72.35625,74.20666666666668,75.85041666666667,77.855,81.50041666666667,80.99458333333334,80.94583333333334,81.50083333333333,11.920000000000002
Europe & Central Asia,Armenia,Upper middle,82.18041666666667,79.74166666666666,82.04625000000001,83.06041666666667,82.22666666666667,82.93833333333335,85.81250000000001,85.05833333333334,83.36458333333333,82.18041666666667,2.438750000000013
Europe & Central Asia,Slovak Republic,High,83.25125,82.20208333333335,85.67,85.38624999999999,85.595,86.26041666666669,90.52333333333334,88.47083333333335,89.76833333333335,83.25125,1.0491666666666504
Europe & Central Asia,Bulgaria,High,83.55416666666667,75.01375000000002,76.75125000000001,82.33833333333334,81.99333333333334,83.38291666666667,87.47958333333334,87.15041666666669,88.35041666666669,83.55416666666667,8.540416666666658
Europe & Central Asia,Albania,Upper middle,83.65374999999999,64.90500000000002,68.65833333333335,78.59666666666666,76.04291666666667,81.3175,85.78041666666667,84.42625000000001,85.07708333333335,83.65374999999999,18.748749999999973
Europe & Central Asia,Kazakhstan,Upper middle,84.89333333333335,71.67625,72.45416666666668,79.27166666666668,78.89916666666667,78.51833333333333,82.64583333333334,81.92916666666667,82.80541666666667,84.89333333333335,13.217083333333349
Europe & Central Asia,Croatia,High,85.05041666666668,66.43333333333334,65.02000000000001,70.52166666666668,70.79416666666667,76.01333333333335,86.51791666666668,84.84083333333334,87.02333333333334,85.05041666666668,18.61708333333334
